Rank,Product Logo,Product Name,Product Range,Revenue,Revenue Trend,Item Sold,Average Unit Price,Commission Rate,Highest Revenue Videos,Highest Revenue Videos Images,Creator Number,Launch Date,Creator Conversion Rate
1,product_logo_1.png,Yerba Magic | Yerba Mate Instant Tea Powder | 20 or 30 Serving Options,$29.99 - $39.99,$4.07m,revenue_trend_1.png,135.22k,$30.09,20%,"product_1_image_1.png, product_1_image_2.png, product_1_image_3.png","product_1_image_1.png, product_1_image_2.png, product_1_image_3.png",3.15k,2024-07-03,47.54%
2,product_logo_2.png,[medicube Official] Affordable Glass Glow Skincare Set | Includes 8 TOP-SELLING products for Gentle Skin Renewal,$83.00 - $84.00,$3.23m,revenue_trend_2.png,39.12k,$82.48,15%,"product_2_image_4.png, product_2_image_5.png, product_2_image_6.png","product_2_image_4.png, product_2_image_5.png, product_2_image_6.png",2.79k,2024-09-03,43.40%
3,product_logo_3.png,"Nello Supercalm – Calming Drink Mix with KSM-66 Ashwagandha, Vitamin D3, Magnesium & L-Theanine – Supports Cortisol Balance, Mood & Sleep, Helps Manage Occasional Stress – Travel Packets (20 Servings)",$39.95,$2.84m,revenue_trend_3.png,77.68k,$36.50,30%,"product_3_image_7.png, product_3_image_8.png, product_3_image_9.png","product_3_image_7.png, product_3_image_8.png, product_3_image_9.png",5.08k,2024-03-09,18.82%
4,product_logo_4.png,"Physician's Choice Hack your Tummy Bundle: Digestive Enzymes & 60 Billion Probiotic - Digestion, Immune & Bloating Support for Men & Women",$36.62 - $59.48,$2.39m,revenue_trend_4.png,69.08k,$34.61,20%,"product_4_image_10.png, product_4_image_11.png, product_4_image_12.png","product_4_image_10.png, product_4_image_11.png, product_4_image_12.png",3.21k,2023-12-16,30.59%
5,product_logo_5.png,"Cata-Kor 250 mg - NAD+ Supplement for Skin Aging Support, Energy, and Focus - 60 Count - Vitamin & Wellness Supplements Dietary Healthcare Edible",$29.99,$1.99m,revenue_trend_5.png,66.44k,$29.99,30%,"product_5_image_13.png, product_5_image_14.png, product_5_image_15.png","product_5_image_13.png, product_5_image_14.png, product_5_image_15.png",1.76k,2025-02-28,64.09%
6,product_logo_6.png,CAKES circles - The 1st viral non-adhesive nip cover - Official CAKES,$30.00,$1.70m,revenue_trend_6.png,64.11k,$26.56,15%,"product_6_image_16.png, product_6_image_17.png, product_6_image_18.png","product_6_image_16.png, product_6_image_17.png, product_6_image_18.png",1.2k,2024-02-06,33.08%
7,product_logo_7.png,"Wavytalk Blowout Boost Ionic Thermal Brush 1 1/2 Inch with LED Display, 300℉-420℉ for Different Hair Types, 120-240V Universal Voltage",$37.95 - $45.98,$1.67m,revenue_trend_7.png,47.27k,$35.25,9%,"product_7_image_19.png, product_7_image_20.png, product_7_image_21.png","product_7_image_19.png, product_7_image_20.png, product_7_image_21.png",1.91k,2023-10-09,27.70%
8,product_logo_8.png,Ultimate Men's Health Bundle - Snap Supplements - Nitric Oxide Booster 60ct + Prostate Health Bundle - Natural Supplement Capsules - Support Blood Circulation & Prostate Health,$37.95,$1.61m,revenue_trend_8.png,41.44k,$38.78,20%,"product_8_image_22.png, product_8_image_23.png, product_8_image_24.png","product_8_image_22.png, product_8_image_23.png, product_8_image_24.png",1.73k,2024-05-02,27.84%
9,product_logo_9.png,"ZOOONE NR1000 - NAD+ Berry Flavor Drink Mix for Skin Aging Support, Energy, and Focus - 30 Pack -",$29.99,$1.41m,revenue_trend_9.png,48.3k,$29.25,20%,"product_9_image_25.png, product_9_image_26.png, product_9_image_27.png","product_9_image_25.png, product_9_image_26.png, product_9_image_27.png",511,2025-01-16,89.24%
10,product_logo_10.png,tarte colored clay CC undereye corrector,$30.00,$1.40m,revenue_trend_10.png,46.85k,$29.97,15%,"product_10_image_28.png, product_10_image_29.png, product_10_image_30.png","product_10_image_28.png, product_10_image_29.png, product_10_image_30.png",830,2024-10-23,49.40%
