Rank,Shop Logo,Name,Type,Best Sellers,Best Seller Images,Revenue,Revenue Trend,Average Unit Price
1,shop_logo_1.png,Tarte Cosmetics,BRAND,"tarte colored clay CC undereye corrector, tarte concealer paw brush - angled for seamless application, tarte face tape foundation - matte, waterproof, and gentle","shop_1_image_1.png, shop_1_image_2.png, shop_1_image_3.png",$8.01m,revenue_trend_1.png,$30.35
2,shop_logo_2.png,medicube,BRAND,"[medicube Official] Affordable Glass Glow Skincare Set | Includes 8 TOP-SELLING products for Gentle Skin Renewal, [medicube Official] Zero Pore Pads (AHA + BHA) | Korean No.1 Toner Pads, [medicube Official] Kojic Acid Turmeric Night Wrapping Mask | Overnight Wrapping Mask, Morning Shed, Turmeric, Niacinamide, Vitamin C","shop_2_image_4.png, shop_2_image_5.png, shop_2_image_6.png",$7.51m,revenue_trend_2.png,$36.52
3,shop_logo_3.png,Crocs,BRAND,"Crocs Women's Getaway Strappy Sandals, Beach Sandals, Crocs Women's Miami Toe Loop Sandals, Lightweight Strappy Sandals for the Pool and Beach, Crocs Women's Brooklyn Low Wedge, Wedge Sandals for Women","shop_3_image_7.png, shop_3_image_8.png, shop_3_image_9.png",$6.08m,revenue_trend_3.png,$40.93
4,shop_logo_4.png,vevor store,BRAND,"VEVOR Retractable Hose Reel, Max 130 FT Garden Water Hose Reel with 9-Pattern Nozzle, 180° Swivel Bracket Wall-Mounted, Automatic Rewind, Lock at Any Length, with Slow Return System Springtok, VEVOR Push Lawn Sweeper, 26 Inch Leaf & Grass Collector, Strong Rubber Wheels & Heavy Duty Thickened Steel Durable to Use with Large Capacity 7 ft³ Mesh Collection Bag, 4 Spinning Brushes, VEVOR Push Lawn Sweeper 21-Inch Leaf & Grass Collector with 3.5 cu. ft. Mesh Collection Hopper Bag, 2 Spinning Brushes & Strong Rubber Wheels","shop_4_image_10.png, shop_4_image_11.png, shop_4_image_12.png",$5.39m,revenue_trend_4.png,$60.34
5,shop_logo_5.png,Goli Nutrition,BRAND,"3 Bottles of Goli Ashwagandha & Vitamin D Gummy - Mixed Berry, KSM-66, Vegan, Plant Based, Non-GMO, Gluten & Gelatin Free, 3 Bottles of Goli New Year New Me Bundle: Ashwagandha KSM-66, Apple Cider Vinegar, Matcha Mind supplement with Cognizin, Vitamins D2 and B12 Healthcare Dietary, Goli Ashwagandha & Vitamin D Gummy - Mixed Berry, KSM-66, Vegan, Plant Based, Non-GMO, Gluten-Free & Gelatin Free. America's #1 Ashwagandha Brand","shop_5_image_13.png, shop_5_image_14.png, shop_5_image_15.png",$5.36m,revenue_trend_5.png,$25.02
6,shop_logo_6.png,Comfrt,BRAND,"Comfrt | Cloud Tee, Comfrt | Cloud Zip Oversized Hoodie | For Stress & Anxiety, Comfrt | Cloud Shorts","shop_6_image_16.png, shop_6_image_17.png, shop_6_image_18.png",$5.04m,revenue_trend_6.png,$36.41
7,shop_logo_7.png,Drink Nello,BRAND,"Nello Supercalm – Calming Drink Mix with KSM-66 Ashwagandha, Vitamin D3, Magnesium & L-Theanine – Supports Cortisol Balance, Mood & Sleep, Helps Manage Occasional Stress – Travel Packets (20 Servings), Supercalm Best Selling Flavors Bundle (2-Pack), Nello Supercalm Tub (2-Pack)","shop_7_image_19.png, shop_7_image_20.png, shop_7_image_21.png",$4.70m,revenue_trend_7.png,$41.97
8,shop_logo_8.png,Micro Ingredients,BRAND,"Micro Ingredients Oregano Oil with Black Seed Oil, Micro Ingredients Multi Collagen Peptides Powder - Hydrolyzed Protein Peptides (Type I,II,III,V,X) with Hyaluronic Acid, Biotin & Vitamin C, Micro Ingredients Hyaluronic Acid Powder, DIY Facial Serum, Skin Hydration Care Formula","shop_8_image_22.png, shop_8_image_23.png, shop_8_image_24.png",$4.48m,revenue_trend_8.png,$27.34
9,shop_logo_9.png,Brainista,RETAILER,"Yerba Magic | Yerba Mate Instant Tea Powder | 20 or 30 Serving Options, Sleepytime Hot Chocolate, Melatonin Free, 8 Supplements to Support Rest: Sugar Free, Dairy Free, and Vegan Hot Cocoa, Yerba Magic | Yerba Mate Capsules | 60 Capsules","shop_9_image_25.png, shop_9_image_26.png, shop_9_image_27.png",$4.07m,revenue_trend_9.png,$30.08
10,shop_logo_10.png,Halara US,BRAND,"Halara 2-Piece Super High Waisted Back Pocket & Side Hidden Pocket 2-in-1 Yoga Shorts Set 5''-Longer Length # Springtok, Halara SoCinched High Waisted Tummy Control Side Pocket Shaping Training Leggings#Springtok, Halara Women's SoCinched High Waisted Scrunch Butt Lifting Tummy Control Side Pocket Training UltraSculpt Leggings No Front Crotch Seam#springtok","shop_10_image_28.png, shop_10_image_29.png, shop_10_image_30.png",$3.88m,revenue_trend_10.png,$32.78
